MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
 , , , , ,3.92296,0.000288,0.003709,4.93478, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85222,0.000292,0.003732,4.86583, , , , , , , , , , , , , , , , , ,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,,,,,
MPI Processes,Nodes,Processes per Node,OpenMP Threads per process,Floating Point Ops,Distribution Time,SpMV Time,SpMV with Reduction Time,Total Time, ,Best Distribution Time,Best SpMV Time,Best SpMV with Reduction Time,Best Total Time,Best GFlops,,Worst Distribution Time,Worst SpMV Time,Worst SpMV with Reduction Time,Worst Total Time,Worst GFlops, ,Avg Distribution Time,Avg SpMV Time,Avg SpMV with Reduction Time,Avg Total Time,Avg GFlops
64, ,1,0,8516500,3.85033,0.000279,0.003701,4.862, ,3.76819,0.000269,0.003575,4.862,4.764001, ,3.98108,0.000598,0.003944,4.99217,4.318293, ,3.856747,0.000295,0.003772,4.86888,4.515092
 , , , , ,3.87668,0.000288,0.003757,4.89043, , , , , , , , , , , , , , , , , ,
 , , , , ,3.8235,0.000286,0.003944,4.83608, , , , , , , , , , , , , , , , , ,
 , , , , ,3.81707,0.000274,0.003772,4.82982, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84337,0.000273,0.003691,4.85484, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88202,0.000287,0.003654,4.89342, , , , , , , , , , , , , , , , , ,
 , , , , ,3.86313,0.000286,0.003759,4.87781, , , , , , , , , , , , , , , , , ,
 , , , , ,3.83562,0.000272,0.003908,4.84644, , , , , , , , , , , , , , , , , ,
 , , , , ,3.88408,0.00029,0.003708,4.89626, , , , , , , , , , , , , , , , , ,
 , , , , ,3.91111,0.000275,0.003827,4.92375, , , , , , , , , , , , , , , , , ,
 , , , , ,3.81834,0.000294,0.003623,4.82988, , , , , , , , , , , , , , , , , ,
 , , , , ,3.98108,0.00028,0.003812,4.99217, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82776,0.000287,0.003575,4.83807, , , , , , , , , , , , , , , , , ,
 , , , , ,3.82512,0.000276,0.003913,4.83778, , , , , , , , , , , , , , , , , ,
 , , , , ,3.85574,0.000276,0.003805,4.86648, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84296,0.000278,0.003858,4.85371, , , , , , , , , , , , , , , , , ,
 , , , , ,3.76819,0.000269,0.003877,4.7802, , , , , , , , , , , , , , , , , ,
 , , , , ,3.87689,0.000598,0.003812,4.8894, , , , , , , , , , , , , , , , , ,
 , , , , ,3.92175,0.000288,0.003596,4.93472, , , , , , , , , , , , , , , , , ,
 , , , , ,3.84407,0.000274,0.003711,4.85664, , , , , , , , , , , , , , , , , ,
